x,y,z,phi,theta,psi,u,v,w,p,q,r
1.0003291982622151,0.00045568492317947084,-1.0004428232546567,-0.0036616389720071064,0.9659266908314404,-0.002478384903283531,0.010337623942645964,0.009084062647464131,0.00045556970229791596,-0.032068886465678285,-0.6362948636302302,-0.028570596541177454
1.0011573647715597,0.0021966272339575045,-1.0010819319442186,-0.01574048883132973,0.8832633872220971,-0.010253444487443145,0.009198468377986763,0.02571017920262918,0.004970015185306369,-0.0859320621728986,-0.9591280613233392,-0.08002304204705832
1.002122606215849,0.005919589669514455,-1.0007027664526766,-0.03704843986858044,0.7809895697928497,-0.023173818390020775,-0.0011146374468360308,0.04845669938019267,0.01396762036326372,-0.15032476654287621,-1.05379688185716,-0.1452842530087765
1.0027892292001601,0.01223368897446692,-0.9983059145943193,-0.06652563833666804,0.6741852829369237,-0.04011927475851755,-0.017657408783817295,0.07597830944289585,0.028021621350732075,-0.21561754375846715,-1.0554919203290944,-0.21388216542001612
1.0026935800892551,0.021698358196989086,-0.9930455403700572,-0.10230300936190989,0.5683399015504527,-0.05968773231334502,-0.0385411993388367,0.10699495487857935,0.047382201281708995,-0.27473012756305215,-1.0225600800090004,-0.2764023471478395
1.0013797794224377,0.03484177622032589,-0.9841833533300028,-0.1422676589886761,0.4654112049766308,-0.08042893112915259,-0.062434003377194354,0.14030187673964312,0.07194424350813443,-0.32319281250423715,-0.9749513646130348,-0.32675876020905986
0.9984415277116655,0.0521566326837082,-0.9711131148900389,-0.18447290675569983,0.3662632217819316,-0.10108598569492047,-0.08822681938012913,0.1747928938006238,0.10124172458686807,-0.358812885462877,-0.9201107548440415,-0.3626645656873926
0.9935599458069218,0.07407803924254885,-0.9534120708201568,-0.2273271999692044,0.2714159394239369,-0.1207328224348408,-0.11492975344338101,0.20948464492464294,0.13446597733011156,-0.38106901760191025,-0.8617297300496314,-0.38458076529606894
0.9865305661117313,0.10095253397849523,-0.9308841199927528,-0.2695997459127898,0.18123762798106605,-0.13878262039905667,-0.14165841210693414,0.24353468055745603,0.17052690009732807,-0.39038100981045726,-0.8022379197330959,-0.3943667168073756
0.9772762984909278,0.1330072831143878,-0.9035766745252328,-0.31034550246266207,0.09598207033789873,-0.15492646073172112,-0.1676499581564252,0.27625078906371037,0.2081486885141326,-0.3877122385306501,-0.7433908410171455,-0.39433430805695885
0.9658455637437897,0.17032695893250033,-0.871767796760808,-0.3488200932608444,0.01580198101303478,-0.16905924511931059,-0.1922809266743016,0.3070929251907974,0.24598567140477187,-0.3742339050830237,-0.6863210914888489,-0.38673736983957546
0.9523969616816983,0.21284309957800993,-0.8359296798301304,-0.38441412476077264,-0.05922709653522181,-0.1812184282748035,-0.21508083507744288,0.33566619731864084,0.2827378664603701,-0.35126256886889506,-0.6315406346833378,-0.3735030879412837
0.9371737403437681,0.2603380120519475,-0.796676708874477,-0.4166163537819956,-0.12907413151330072,-0.19154655606191837,-0.2357357755761927,0.36171288898506054,0.31724149447310623,-0.32026159549875277,-0.5789849418499569,-0.3562587672217363
0.9204730905553355,0.31246249578359475,-0.7547066973584892,-0.4449956373269115,-0.19371894554493704,-0.20027198229009863,-0.2540823190918687,0.38509738493880147,0.34853950773924447,-0.2828112924849005,-0.5281280805098651,-0.3362853421502534
0.9026154469967232,0.3687642444420885,-0.7107432040139183,-0.4691965731738908,-0.25312362261746163,-0.20769879946939926,-0.2700891340077609,0.40579012069168025,0.37592125448430447,-0.2406577048498342,-0.4781266856117827,-0.31458759492147587
0.883917804907965,0.4287226317062981,-0.6654843193492123,-0.4889443212036545,-0.3072179008275004,-0.21419679958776977,-0.28383910820446717,0.423848855210689,0.3989374884728721,-0.19565571001623241,-0.4280914356858374,-0.291913714428779
0.8646734025955449,0.4917848886824063,-0.6195616115723077,-0.5040499038325434,-0.35589825324519536,-0.22018475106049837,-0.2955013622918591,0.4394009992415679,0.4173832854405597,-0.14962496312446438,-0.3772424717869301,-0.26881751069137994
0.8451388238187111,0.5573990171188661,-0.5735106420756478,-0.5144149998423012,-0.399035034807954,-0.22610704031798906,-0.30530525377166673,0.4526238532406956,0.4312650892651407,-0.1042570468687816,-0.32502276502001926,-0.24569929663852483
0.8255276967351375,0.6250404632846746,-0.5277563405660148,-0.520040904616621,-0.4364880772504852,-0.2324017123817075,-0.3135183022514911,0.46372565667767496,0.4407612444425615,-0.06106187291745919,-0.27122936144878823,-0.22285632012537357
0.8060095229492786,0.6942310662889545,-0.4826142499069142,-0.521030894042233,-0.46812790856862363,-0.2394605031143368,-0.3204241466775513,0.47293013953524154,0.446172044836102,-0.021085964920997992,-0.2160454598101548,-0.20048641997197042
0.7867116913616444,0.76454950632663,-0.438302294210956,-0.5175731372622187,-0.49385867351520335,-0.24758905628988095,-0.32630406644371,0.48046111466008484,0.44786424172330797,0.01526734065437121,-0.1600139054546408,-0.1787509478128692
0.7677232208804607,0.8356336862510537,-0.3949584787385643,-0.5099382046654839,-0.513631827173193,-0.2569758325799114,-0.3314146995768224,0.4865246930869674,0.44622701854719626,0.04746527079320087,-0.10381031712538649,-0.15772031886626398
0.7491007065118973,0.9071787646946747,-0.35265723898845897,-0.49854881229203146,-0.5274484486783411,-0.2676745340466128,-0.33597324267920115,0.4913107218730532,0.4416712602718108,0.07490084681201473,-0.04812499158580796,-0.13740924622202905
0.7308763941998911,0.9789335187695342,-0.3114230201772982,-0.48392681096993423,-0.5353559470622278,-0.2796087285880126,-0.340146650715666,0.49499983759667143,0.4345869134134577,0.09790850776345408,0.0065044695287277115,-0.11784290613290432
